theme,url,img,lines
KINDNESS,/inspirational-quotes/6408-constant-kindness-can-accomplish-much-as-the,https://assets.passiton.com/quotes/quote_artwork/6408/medium/20191114_thursday_quote.jpg?1573241052,"Constant kindness can accomplish much. As the sun makes ice melt, kindness causes misunderstanding, mistrust, and hostility to evaporate. #<Author:0x00007faccaf1e0b8>"
KINDNESS,/inspirational-quotes/8015-three-things-in-human-life-are-important-the,https://assets.passiton.com/quotes/quote_artwork/8015/medium/20191113_wednesday_quote.jpg?1573241022,Three things in human life are important. The first is to be kind. The second is to be kind. And the third is to be kind. #<Author:0x00007faccaf502c0>
KINDNESS,/inspirational-quotes/7492-guard-well-within-yourself-that-treasure,https://assets.passiton.com/quotes/quote_artwork/7492/medium/20191112_tuesday_quote.jpg?1573241000,"Guard well within yourself that treasure, kindness. Know how to give without hesitation, how to lose without regret, how to acquire without meanness. #<Author:0x00007faccaf705e8>"
KINDNESS,/inspirational-quotes/8014-to-achieve-a-kinder-world-we-must-approach,https://assets.passiton.com/quotes/quote_artwork/8014/medium/20191111_monday_quote.jpg?1573240971,"To achieve a kinder world, we must approach kindness with ambition and dedication. We must practice it in every moment of our lives. Kindness is that important. #<Author:0x00007faccaf9f140>"
ACHIEVEMENT,/inspirational-quotes/8013-there-is-no-magic-to-achievement-it-s-really,https://assets.passiton.com/quotes/quote_artwork/8013/medium/20191108_friday_quote.jpg?1572726643,"There is no magic to achievement. It’s really about hard work, choices, and persistence. #<Author:0x00007faccafb4d38>"
ACHIEVEMENT,/inspirational-quotes/7203-only-those-who-dare-to-fail-greatly-can-ever,https://assets.passiton.com/quotes/quote_artwork/7203/medium/20191107_thursday_quote.jpg?1572625263,Only those who dare to fail greatly can ever achieve greatly. #<Author:0x00007faccafd8288>
ACHIEVEMENT,/inspirational-quotes/8011-don-t-let-others-tell-you-what-you-can-t-do,https://assets.passiton.com/quotes/quote_artwork/8011/medium/20191106_wednesday_quote.jpg?1572625164,"Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible. #<Author:0x00007faccaffdb78>"
ACHIEVEMENT,/inspirational-quotes/8010-behind-every-great-achievement-is-a-dreamer-of,https://assets.passiton.com/quotes/quote_artwork/8010/medium/20191105_tuesday_quote.jpg?1572625141,Behind every great achievement is a dreamer of great dreams. #<Author:0x00007faccb032ee0>
ACHIEVEMENT,/inspirational-quotes/7617-make-the-most-of-yourself-by-fanning-the-tiny,https://assets.passiton.com/quotes/quote_artwork/7617/medium/20191104_monday_quote.jpg?1572625113,"Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.  #<Author:0x00007faccb063900>"
INNOVATION,/inspirational-quotes/8007-what-is-now-proved-was-once-only-imagined,https://assets.passiton.com/quotes/quote_artwork/8007/medium/20191101_friday_quote.jpg?1572022959,What is now proved was once only imagined. #<Author:0x00007faccb0894e8>
INNOVATION,/inspirational-quotes/8006-the-innovation-point-is-the-pivotal-moment-when,https://assets.passiton.com/quotes/quote_artwork/8006/medium/20191031_thursday_quote.jpg?1572022940,The innovation point is the pivotal moment when talented and motivated people seek the opportunity to act on their ideas and dreams. #<Author:0x00007faccb0bef80>
